domain,homepage_url,expected_label,website_type,target_market,language,activity_status,label_reason,evidence_summary,reviewer_notes,dataset_split,evidence_url_1,evidence_url_2,reviewed_at,review_method
thegamer.com,https://www.thegamer.com/,gaming_media,gaming_publication,Canada,en,active,Gaming site owned by Valnet (based in Montreal).,"Large editorial team, daily updates, guides and news sections.",,development,https://www.thegamer.com/,https://www.thegamer.com/about/,2026-06-16T12:00:00Z,manual_public_web_review
canadiangamingnews.com,https://canadiangamingnews.com/,gaming_media,gaming_publication,Canada,en,active,CA specific gaming news.,Articles focusing on local Canadian gaming industry.,,development,https://canadiangamingnews.com/,,2026-06-16T12:00:00Z,manual_public_web_review
gamecanucks.com,https://gamecanucks.com/,gaming_media,gaming_publication,Canada,en,active,Canadian gaming blog.,"News and features, author names, dates.",,development,https://gamecanucks.com/,,2026-06-16T12:00:00Z,manual_public_web_review
canadianonlinegamers.com,https://canadianonlinegamers.com/,gaming_media,gaming_publication,Canada,en,active,Canadian gaming reviews site (COGconnected).,"Reviews, features, podcasts, editorial structure.",,development,https://canadianonlinegamers.com/,https://cogconnected.com/about/,2026-06-16T12:00:00Z,manual_public_web_review
ign.com,https://www.ign.com/,gaming_media,gaming_publication,Global,en,active,Global gaming publication.,"Clear editorial identity, daily articles, bylines, gaming nav.",,development,https://www.ign.com/,https://corp.ign.com/,2026-06-16T12:00:00Z,manual_public_web_review
gamespot.com,https://www.gamespot.com/,gaming_media,gaming_publication,Global,en,active,Global gaming publication.,"Reviews, news, dates, staff page.",,development,https://www.gamespot.com/,https://www.gamespot.com/about/,2026-06-16T12:00:00Z,manual_public_web_review
kotaku.com,https://kotaku.com/,gaming_media,gaming_publication,Global,en,active,Global gaming publication.,"Bylines, dates, gaming categories.",,test,https://kotaku.com/,https://kotaku.com/about,2026-06-16T12:00:00Z,manual_public_web_review
polygon.com,https://www.polygon.com/,gaming_media,gaming_publication,Global,en,active,Global gaming publication.,"Clear editorial identity, features, news.",,development,https://www.polygon.com/,https://www.polygon.com/about,2026-06-16T12:00:00Z,manual_public_web_review
pcgamer.com,https://www.pcgamer.com/,gaming_media,gaming_publication,Global,en,active,Global gaming publication focused on PC.,"Hardware and games news, bylines, dates.",,development,https://www.pcgamer.com/,https://www.pcgamer.com/about-pc-gamer/,2026-06-16T12:00:00Z,manual_public_web_review
rockpapershotgun.com,https://www.rockpapershotgun.com/,gaming_media,gaming_publication,Global,en,active,Global gaming publication.,"Daily publishing, reviews, clear publication identity.",,test,https://www.rockpapershotgun.com/,https://www.rockpapershotgun.com/about,2026-06-16T12:00:00Z,manual_public_web_review
news.yahoo.co.jp,https://news.yahoo.co.jp/categories/it/gaming,uncertain,general_media_gaming_section,Japan,ja,active,Aggregated gaming news section of a general portal.,Gaming content is aggregated from other sources rather than originally authored. Ambiguous if it qualifies as an independent gaming publication.,Reassessed as uncertain due to mixed nature.,test,https://news.yahoo.co.jp/categories/it/gaming,,2026-06-16T12:00:00Z,manual_public_web_review
oricon.co.jp,https://www.oricon.co.jp/game/,not_gaming_media,general_media_gaming_section,Japan,ja,active,General entertainment and chart media.,Gaming is a secondary sub-section. Primary focus is music/entertainment.,,development,https://www.oricon.co.jp/game/,https://www.oricon.co.jp/company/,2026-06-16T12:00:00Z,manual_public_web_review
itmedia.co.jp,https://www.itmedia.co.jp/news/subtop/game/,uncertain,general_media_gaming_section,Japan,ja,active,Tech news portal with a gaming subsection.,Mixed focus on tech and gaming. Substantial recurring coverage makes it uncertain rather than a hard negative.,,test,https://www.itmedia.co.jp/news/subtop/game/,,2026-06-16T12:00:00Z,manual_public_web_review
asahi.com,https://www.asahi.com/games/,not_gaming_media,general_media_gaming_section,Japan,ja,active,General newspaper.,Incidental gaming coverage among broader national news. Primary purpose is general news.,,development,https://www.asahi.com/games/,https://www.asahi.com/corporate/,2026-06-16T12:00:00Z,manual_public_web_review
lapresse.ca,https://www.lapresse.ca/jeux,uncertain,general_media_gaming_section,Canada,fr,active,General news site with a dedicated gaming section.,Mixed media. Contains gaming reviews and news but within a broader paper.,,test,https://www.lapresse.ca/jeux,,2026-06-16T12:00:00Z,manual_public_web_review
journaldemontreal.com,https://www.journaldemontreal.com/jeux,not_gaming_media,general_media_gaming_section,Canada,fr,active,Paper gaming section.,Incidental gaming coverage. Primarily general news.,,development,https://www.journaldemontreal.com/jeux,,2026-06-16T12:00:00Z,manual_public_web_review
theglobeandmail.com,https://www.theglobeandmail.com/technology/gaming/,not_gaming_media,general_media_gaming_section,Canada,en,active,National newspaper gaming section.,Gaming is a minor sub-category of Technology.,,development,https://www.theglobeandmail.com/technology/gaming/,,2026-06-16T12:00:00Z,manual_public_web_review
cbc.ca,https://www.cbc.ca/news/entertainment/games,not_gaming_media,general_media_gaming_section,Canada,en,active,National broadcaster gaming section.,"Incidental coverage, not a dedicated gaming media outlet.",,development,https://www.cbc.ca/news/entertainment/games,,2026-06-16T12:00:00Z,manual_public_web_review
bbc.com,https://www.bbc.com/news/technology/gaming,not_gaming_media,general_media_gaming_section,Global,en,active,General news broadcaster.,"Primary focus is world news and tech, gaming is a small sub-section.",,development,https://www.bbc.com/news/technology/gaming,,2026-06-16T12:00:00Z,manual_public_web_review
theverge.com,https://www.theverge.com/games,uncertain,general_media_gaming_section,Global,en,active,Tech site with a very large gaming section.,"Substantial recurring gaming coverage, but primary identity is technology and culture. Ambiguous classification.",,test,https://www.theverge.com/games,https://www.theverge.com/about,2026-06-16T12:00:00Z,manual_public_web_review
nintendo.co.jp,https://www.nintendo.co.jp/,not_gaming_media,game_developer,Japan,ja,active,Official developer and publisher site.,Developer and store signals dominate. No independent editorial publishing.,,test,https://www.nintendo.co.jp/,https://www.nintendo.co.jp/corporate/,2026-06-16T12:00:00Z,manual_public_web_review
square-enix.com,https://www.square-enix.com/jp/,not_gaming_media,game_publisher,Japan,ja,active,Corporate publisher site.,"Contains game marketing, company info, not an editorial outlet.",,development,https://www.square-enix.com/jp/,https://www.jp.square-enix.com/company/,2026-06-16T12:00:00Z,manual_public_web_review
bioware.com,https://www.bioware.com/,not_gaming_media,game_developer,Canada,en,active,Game developer studio site.,Marketing for their own games. No editorial.,,development,https://www.bioware.com/,,2026-06-16T12:00:00Z,manual_public_web_review
ubisoft.com,https://www.ubisoft.com/en-ca/,not_gaming_media,game_publisher,Canada,en,active,Publisher regional site.,Store and publisher marketing.,,development,https://www.ubisoft.com/en-ca/,https://www.ubisoft.com/en-ca/company/about-us,2026-06-16T12:00:00Z,manual_public_web_review
ea.com,https://www.ea.com/en-ca,not_gaming_media,game_publisher,Canada,en,active,Publisher regional site.,Game catalogues and store features.,,test,https://www.ea.com/en-ca,,2026-06-16T12:00:00Z,manual_public_web_review
yodobashi.com,https://www.yodobashi.com/category/140007/,not_gaming_media,gaming_retailer,Japan,ja,active,Retail store category.,"Shopping cart, buy buttons, product listings.",,test,https://www.yodobashi.com/category/140007/,,2026-06-16T12:00:00Z,manual_public_web_review
suruga-ya.jp,https://www.suruga-ya.jp/,not_gaming_media,gaming_retailer,Japan,ja,active,Used goods retailer.,"Shopping cart, product pages.",,development,https://www.suruga-ya.jp/,,2026-06-16T12:00:00Z,manual_public_web_review
biccamera.com,https://www.biccamera.com/bc/category/001/100/,not_gaming_media,gaming_retailer,Japan,ja,active,Retailer section.,Store signals dominate.,,development,https://www.biccamera.com/bc/category/001/100/,,2026-06-16T12:00:00Z,manual_public_web_review
gamestop.ca,https://www.gamestop.ca/,not_gaming_media,gaming_retailer,Canada,en,active,Retail store.,"Store catalog, prices, add to cart.",,test,https://www.gamestop.ca/,,2026-06-16T12:00:00Z,manual_public_web_review
bestbuy.ca,https://www.bestbuy.ca/en-ca/category/video-games/20001,not_gaming_media,gaming_retailer,Canada,en,active,Retailer gaming section.,"Product listings, cart features.",,development,https://www.bestbuy.ca/en-ca/category/video-games/20001,,2026-06-16T12:00:00Z,manual_public_web_review
5ch.net,https://5ch.net/game,not_gaming_media,forum_or_community,Japan,ja,active,Message board forum.,"User threads only, no organized editorial publishing.",,development,https://5ch.net/game,https://5ch.net/,2026-06-16T12:00:00Z,manual_public_web_review
streetfighter.com,https://www.streetfighter.com/,not_gaming_media,single_game_site,Japan,ja,active,Single game marketing site.,"Marketing for one game franchise, no general gaming news.",,development,https://www.streetfighter.com/,,2026-06-16T12:00:00Z,manual_public_web_review
thescoreesports.com,https://www.thescoreesports.com/,not_gaming_media,esports_organization,Canada,en,active,Esports coverage/team site.,Focuses on esports scores and rosters rather than broad gaming media reviews.,,test,https://www.thescoreesports.com/,,2026-06-16T12:00:00Z,manual_public_web_review
razer.com,https://www.razer.com/ca-en,not_gaming_media,hardware_or_technology,Canada,en,active,Hardware manufacturer.,"Hardware store signals, no editorial articles.",,development,https://www.razer.com/ca-en,,2026-06-16T12:00:00Z,manual_public_web_review
twitch.tv,https://www.twitch.tv/shroud,not_gaming_media,creator_or_streaming_profile,Canada,en,active,Individual streamer profile.,"Streaming video only, no text articles or editorial.",,development,https://www.twitch.tv/shroud,,2026-06-16T12:00:00Z,manual_public_web_review
vr-zone.com,https://vr-zone.com/,uncertain,inactive_or_archived_media,Global,en,inactive,Archived/inactive site.,No recent publication dates observed. Site appears abandoned.,,development,https://vr-zone.com/,,2026-06-16T12:00:00Z,manual_public_web_review
1up.com,https://1up.com/,uncertain,inactive_or_archived_media,Global,en,inactive,Dead gaming site that redirects.,"Original content is inaccessible, domain redirects to another site.",,development,https://1up.com/,https://en.wikipedia.org/wiki/1UP.com,2026-06-16T12:00:00Z,manual_public_web_review
n4g.com,https://n4g.com/,uncertain,ambiguous,Global,en,active,Gaming news aggregator.,Community submitted gaming news links. Ambiguous if it qualifies as an original editorial publisher.,,development,https://n4g.com/,,2026-06-16T12:00:00Z,manual_public_web_review
dmm.com,https://games.dmm.com/,uncertain,ambiguous,Japan,ja,unknown,Publisher/platform with geographical IP blocks.,Access often blocked from non-JP IPs. Mixed publisher and store signals.,,test,https://games.dmm.com/,https://dmm.com/,2026-06-16T12:00:00Z,manual_public_web_review
gamewith.jp,https://gamewith.jp/,uncertain,ambiguous,Japan,ja,active,Game wiki and guide site.,Highly structured guide site. Ambiguous if it strictly fits the 'editorial news/reviews' definition. Often uses Cloudflare challenges.,,test,https://gamewith.jp/,https://gamewith.co.jp/,2026-06-16T12:00:00Z,manual_public_web_review
